model,sample,day,rmse
1Day,0,1,0.3280
1Day,0,2,0.3686
1Day,0,3,0.3924
1Day,0,4,0.5453
1Day,0,5,0.3042
1Day,0,6,0.2717
1Day,0,7,0.1995
1Day,0,8,0.2070
1Day,1,1,0.1211
1Day,1,2,0.2056
1Day,1,3,0.3608
1Day,1,4,0.1256
1Day,1,5,0.1065
1Day,1,6,0.3965
1Day,1,7,0.3900
1Day,1,8,0.2809
1Day,2,1,0.1345
1Day,2,2,0.4115
1Day,2,3,0.1320
1Day,2,4,0.1081
1Day,2,5,0.4136
1Day,2,6,0.4142
1Day,2,7,0.2541
1Day,2,8,0.1353
4Day,0,1,0.3027
4Day,0,2,0.1814
4Day,0,3,0.1219
4Day,0,4,0.1510
4Day,0,5,0.3019
4Day,0,6,0.3960
4Day,0,7,0.4316
4Day,0,8,0.4735
4Day,1,1,0.1311
4Day,1,2,0.1530
4Day,1,3,0.1802
4Day,1,4,0.3354
4Day,1,5,0.4149
4Day,1,6,0.4605
4Day,1,7,0.5348
4Day,1,8,0.5411
4Day,2,1,0.1185
4Day,2,2,0.1418
4Day,2,3,0.2909
4Day,2,4,0.3902
4Day,2,5,0.4301
4Day,2,6,0.5080
4Day,2,7,0.5147
4Day,2,8,0.5403
