model,sample,day,rmse
1Day,0,1,0.3713
1Day,0,2,0.4409
1Day,0,3,0.4704
1Day,0,4,0.5860
1Day,0,5,0.2906
1Day,0,6,0.2498
1Day,0,7,0.2256
1Day,0,8,0.2338
1Day,1,1,0.2256
1Day,1,2,0.1941
1Day,1,3,0.1510
1Day,1,4,0.2821
1Day,1,5,0.3257
1Day,1,6,0.7355
1Day,1,7,0.7444
1Day,1,8,0.6094
1Day,2,1,0.1831
1Day,2,2,0.2465
1Day,2,3,0.1543
1Day,2,4,0.1693
1Day,2,5,0.5094
1Day,2,6,0.5123
1Day,2,7,0.3812
1Day,2,8,0.2348
4Day,0,1,0.1957
4Day,0,2,0.2390
4Day,0,3,0.3019
4Day,0,4,0.7349
4Day,0,5,0.7522
4Day,0,6,0.6325
4Day,0,7,0.4768
4Day,0,8,0.4059
4Day,1,1,0.2921
4Day,1,2,0.3268
4Day,1,3,0.7359
4Day,1,4,0.7524
4Day,1,5,0.6155
4Day,1,6,0.4482
4Day,1,7,0.3859
4Day,1,8,0.2520
4Day,2,1,0.1560
4Day,2,2,0.4506
4Day,2,3,0.3981
4Day,2,4,0.2431
4Day,2,5,0.1416
4Day,2,6,0.1424
4Day,2,7,0.2670
4Day,2,8,0.3535
8Day,0,1,0.3574
8Day,0,2,0.2000
8Day,0,3,0.1389
8Day,0,4,0.1573
8Day,0,5,0.3161
8Day,0,6,0.4615
8Day,0,7,0.4264
8Day,0,8,0.4334
8Day,1,1,0.2132
8Day,1,2,0.1454
8Day,1,3,0.1780
8Day,1,4,0.3375
8Day,1,5,0.4434
8Day,1,6,0.5158
8Day,1,7,0.5829
8Day,1,8,0.5941
8Day,2,1,0.1442
8Day,2,2,0.1850
8Day,2,3,0.3539
8Day,2,4,0.4588
8Day,2,5,0.5146
8Day,2,6,0.5852
8Day,2,7,0.5888
8Day,2,8,0.6056
