model,sample,day,rmse
1Day,0,1,0.3912
1Day,0,2,0.4710
1Day,0,3,0.5033
1Day,0,4,0.6205
1Day,0,5,0.3234
1Day,0,6,0.2814
1Day,0,7,0.1900
1Day,0,8,0.1980
1Day,1,1,0.2100
1Day,1,2,0.2002
1Day,1,3,0.1425
1Day,1,4,0.3121
1Day,1,5,0.3594
1Day,1,6,0.7749
1Day,1,7,0.7853
1Day,1,8,0.6505
1Day,2,1,0.1841
1Day,2,2,0.2326
1Day,2,3,0.1717
1Day,2,4,0.2020
1Day,2,5,0.5902
1Day,2,6,0.5962
1Day,2,7,0.4591
1Day,2,8,0.2987
4Day,0,1,0.1918
4Day,0,2,0.2085
4Day,0,3,0.2615
4Day,0,4,0.6873
4Day,0,5,0.6948
4Day,0,6,0.5623
4Day,0,7,0.4008
4Day,0,8,0.3360
4Day,1,1,0.2572
4Day,1,2,0.2633
4Day,1,3,0.5882
4Day,1,4,0.4551
4Day,1,5,0.2523
4Day,1,6,0.1445
4Day,1,7,0.1409
4Day,1,8,0.1873
4Day,2,1,0.1113
4Day,2,2,0.4230
4Day,2,3,0.3833
4Day,2,4,0.2288
4Day,2,5,0.1337
4Day,2,6,0.1485
4Day,2,7,0.3039
4Day,2,8,0.3981
8Day,0,1,0.3827
8Day,0,2,0.2157
8Day,0,3,0.1179
8Day,0,4,0.1426
8Day,0,5,0.2882
8Day,0,6,0.3974
8Day,0,7,0.4150
8Day,0,8,0.4113
8Day,1,1,0.2189
8Day,1,2,0.1203
8Day,1,3,0.1717
8Day,1,4,0.3500
8Day,1,5,0.4838
8Day,1,6,0.5377
8Day,1,7,0.5759
8Day,1,8,0.5828
8Day,2,1,0.0977
8Day,2,2,0.1600
8Day,2,3,0.3681
8Day,2,4,0.4652
8Day,2,5,0.5234
8Day,2,6,0.5976
8Day,2,7,0.5945
8Day,2,8,0.6029
