File,aid,Date,2061,2065,2069,2116,2120,2124,2185,2189,2193,2257,2261,2265,2321,2325,2329,2377,2381,2385,2445,2449,2453,2517,2521,2525,3098,3102,3106,3154,3158,3162,3358,3362,3366,3414,3418,3422,3482,3486,3490,3554,3558,3562,4109,4113,4117,4164,4168,4172,4233,4237,4241,4305,4309,4313,4369,4373,4377,4425,4429,4433,4493,4497,4501,4565,4569,4573,5202,5206,5210,5406,5410,5414,5462,5466,5470,10253,10257,10261,10308,10312,10316,10377,10381,10385,10449,10453,10457,10513,10517,10521,10569,10573,10577,10637,10641,10645,10709,10713,10717,11290,11294,11298,11346,11350,11354,11550,11554,11558,11606,11610,11614,11746,11750,18449,18453,18457,18504,18508,18512,18709,18713,18717,18765,18769,18773,19486,19490,19494,19746,19750,19754,20497,20501,20505,20552,20556,20560,20757,20761,20765,20813,20817,20821,26641,26645,26649,26696,26700,26704,26901,26905,26909,26957,26961,26965,27942,27946,34837,34841,34845,34893,34897,34901,34961,34965,34969,35033,35037,35041,35097,35101,35105,35153,35157,35161,35221,35225,35229,35293,35297,35301,36885,36889,36893,36941,36945,36949,37009,37013,37017,37081,37085,37089,37145,37149,37153,37201,37205,37209,37269,37273,37277,37341,37345,37349,43029,43033,43037,43085,43089,43093,43153,43157,43161,43225,43229,43233,43289,43293,43297,43345,43349,43353,43413,43417,43421,43485,43489,43493,51225,51229,51233,51281,51285,51289,51485,51489,51493,51541,51545,51549,53247,53273,53277,53281,53329,53333,53337,53533,53537,53541,53589,53593,53597,57343,59417,59421,59425,59473,59477,59481,59677,59681,59685,59733,59737,59741
_500_m_16_days_VI_Quality_2012353_aid0001,aid0001,2012-12-18,,8220.0,61.0,,23103.0,1658.0,,56959.0,5821.0,,30813.0,42425.0,,240.0,53.0,,30.0,,,25.0,,,106.0,154.0,,,,,,,,,1.0,,1.0,,,,,,,,,230.0,81.0,,30.0,,,,,,,,,1.0,5.0,,2.0,,,,,,,,,,,,,,,,,,967.0,128.0,,3727.0,1568.0,,26.0,31.0,,65.0,186.0,,2.0,11.0,,35.0,,,,,,6.0,,,,,,,,,,,,,,,,,806871.0,791.0,,,2.0,,37.0,11.0,,,,,,,,,,,736.0,141.0,,,,,13.0,11.0,,4.0,,,13475.0,620.0,,6.0,6.0,,6.0,12.0,,2.0,,,,,372.0,27.0,,149.0,,,115.0,,,407.0,59.0,,264.0,126.0,,,10.0,,2.0,,,178.0,103.0,,12.0,3.0,,,,,,,,,,,4.0,1.0,,,,,,,,,1.0,,62.0,8.0,,98.0,6.0,,,,,4.0,,,14.0,10.0,,4.0,,,,,,10.0,6.0,,1269.0,30.0,,,,,118.0,17.0,,,,,,6.0,8.0,,,,,4.0,2.0,,,,5.0,,60.0,5.0,,,,,10.0,4.0,,,
_500_m_16_days_VI_Quality_2012361_aid0001,aid0001,2012-12-26,,15049.0,1683.0,,31933.0,12731.0,,48342.0,1544.0,,54856.0,5715.0,,975.0,80.0,,375.0,1.0,,,,,213.0,4.0,,,,,,,,13.0,189.0,,19.0,,,,,,2.0,,,24.0,15.0,,19.0,,,2.0,,,,,,20.0,17.0,,6.0,5.0,,,,,,,,,,,20.0,62.0,,,,,1787.0,123.0,,2281.0,214.0,,140.0,26.0,,208.0,33.0,,69.0,57.0,,36.0,24.0,,1.0,,,3.0,6.0,,,,,,,,7.0,30.0,,,,,,,789431.0,6473.0,,,,,236.0,226.0,,,,,,,,,,,481.0,315.0,,,,,14.0,20.0,,8.0,,,14864.0,820.0,,6.0,,,25.0,59.0,,7.0,,,,,1250.0,24.0,,1559.0,2.0,,70.0,6.0,,744.0,,,1980.0,37.0,,367.0,,,19.0,26.0,,484.0,33.0,,1.0,,,,,,,,,,,,43.0,14.0,,8.0,2.0,,,,,2.0,,,70.0,1.0,,132.0,10.0,,5.0,,,6.0,7.0,,160.0,75.0,,45.0,18.0,,2.0,1.0,,4.0,10.0,,2073.0,195.0,,,,,829.0,448.0,,,,,,5.0,20.0,,,,,33.0,85.0,,,,13.0,,74.0,35.0,,,,,34.0,103.0,,,
_500_m_16_days_VI_Quality_2013001_aid0001,aid0001,2013-01-01,,24877.0,397.0,,162832.0,147396.0,,142193.0,43223.0,,126246.0,152080.0,,11.0,4.0,,,1.0,,,26.0,,3.0,61.0,,,,,,,,,,,,,,,,,,,,27.0,8.0,,39.0,26.0,,,,,,,,36.0,10.0,,8.0,47.0,,,,,,,,,,,,1.0,,,,,1884.0,140.0,,5879.0,3320.0,,130.0,96.0,,298.0,578.0,,10.0,31.0,,18.0,30.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,178904.0,1000.0,,3.0,4.0,,17.0,3.0,,,,,,,,,,,543.0,283.0,,,,,21.0,10.0,,12.0,,,7971.0,617.0,,7.0,18.0,,3.0,3.0,,2.0,,,,,58.0,12.0,,283.0,62.0,,2.0,6.0,,104.0,263.0,,28.0,37.0,,3.0,2.0,,,1.0,,12.0,55.0,,8.0,,,3.0,,,,,,,,,9.0,2.0,,12.0,35.0,,,3.0,,,,,32.0,2.0,,77.0,10.0,,2.0,3.0,,5.0,6.0,,29.0,46.0,,21.0,37.0,,,5.0,,,11.0,,263.0,1.0,,,,,14.0,15.0,,,,,,17.0,11.0,,,,,18.0,8.0,,,,5.0,,57.0,9.0,,,,,6.0,8.0,,,
_500_m_16_days_VI_Quality_2013009_aid0001,aid0001,2013-01-09,,3891.0,907.0,,424107.0,160081.0,,295446.0,38862.0,,36884.0,17807.0,,1.0,1.0,,8.0,1.0,,6.0,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,81.0,12.0,,181.0,42.0,,,,,,,,21.0,3.0,,70.0,40.0,,,2.0,,,,,,,,2.0,,,,3.0,,1024.0,53.0,,16728.0,1147.0,,395.0,53.0,,157.0,111.0,,15.0,6.0,,60.0,34.0,,3.0,5.0,,3.0,3.0,,,,,,,,2.0,,,,,,,,2071.0,90.0,,23.0,10.0,,,,,,,,,,,,,,352.0,98.0,,43.0,,,6.0,7.0,,,10.0,,581.0,145.0,,232.0,15.0,,2.0,11.0,,,2.0,,,,3.0,5.0,,136.0,40.0,,2.0,,,1.0,83.0,,1.0,3.0,,2.0,2.0,,1.0,3.0,,1.0,20.0,,4.0,5.0,,19.0,,,,,,,,,13.0,27.0,,17.0,42.0,,,3.0,,,5.0,,6.0,7.0,,197.0,24.0,,3.0,,,2.0,1.0,,17.0,43.0,,33.0,63.0,,3.0,5.0,,2.0,33.0,,21.0,2.0,,,,,,,,,,,,5.0,1.0,,,,,41.0,88.0,,,2.0,9.0,,17.0,7.0,,,1.0,,17.0,52.0,,,3.0
_500_m_16_days_VI_Quality_2013017_aid0001,aid0001,2013-01-17,,332.0,74.0,,375820.0,125319.0,,344033.0,63261.0,,55878.0,15313.0,,1.0,,,11.0,1.0,,14.0,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,46.0,1.0,,206.0,30.0,,,,,,1.0,,2.0,,,75.0,33.0,,,,,,1.0,,,,,,2.0,,,3.0,,389.0,17.0,,17276.0,1346.0,,301.0,31.0,,232.0,100.0,,21.0,2.0,,108.0,56.0,,4.0,1.0,,3.0,12.0,,,,,,,,,,,,,,,,26.0,66.0,,49.0,34.0,,,1.0,,,2.0,,,,,,,,133.0,157.0,,74.0,42.0,,,21.0,,,4.0,,173.0,232.0,,269.0,98.0,,,12.0,,,1.0,,,,3.0,,,51.0,23.0,,138.0,1.0,,37.0,60.0,,,14.0,,11.0,13.0,,5.0,2.0,,5.0,17.0,,1.0,,,42.0,3.0,,,,,,,,6.0,8.0,,11.0,39.0,,,1.0,,,3.0,,4.0,4.0,,72.0,26.0,,6.0,4.0,,,9.0,,12.0,22.0,,32.0,53.0,,,1.0,,3.0,14.0,,10.0,7.0,,,2.0,,1.0,2.0,,,,,,18.0,122.0,,,5.0,,24.0,109.0,,,11.0,3.0,,28.0,175.0,,,3.0,,12.0,55.0,,,6.0
_500_m_16_days_VI_Quality_2013025_aid0001,aid0001,2013-01-25,1442.0,3006.0,117.0,20976.0,30091.0,84357.0,36704.0,177402.0,187240.0,83514.0,52554.0,231109.0,593.0,236.0,37.0,37.0,15.0,73.0,,23.0,18.0,344.0,183.0,2379.0,40.0,7.0,,,,8.0,433.0,74.0,571.0,53.0,2.0,789.0,,,,,,,,14.0,,,30.0,26.0,,,,,,,,10.0,4.0,,12.0,7.0,,,,,,1.0,,,,1.0,7.0,3.0,,,,4.0,161.0,39.0,1471.0,6905.0,7075.0,8.0,48.0,52.0,82.0,128.0,639.0,11.0,39.0,2.0,41.0,54.0,161.0,,9.0,20.0,24.0,18.0,70.0,2.0,,,,,,3.0,4.0,24.0,3.0,,21.0,,,21940.0,14522.0,3594.0,11.0,18.0,15.0,79.0,112.0,39.0,,2.0,2.0,,,,,,,438.0,97.0,45.0,25.0,43.0,40.0,,20.0,20.0,,,6.0,1098.0,622.0,410.0,113.0,109.0,154.0,14.0,14.0,37.0,20.0,12.0,8.0,,,1449.0,841.0,255.0,249.0,138.0,402.0,280.0,75.0,266.0,1440.0,1323.0,2781.0,1526.0,237.0,537.0,87.0,45.0,193.0,3.0,9.0,7.0,362.0,351.0,5830.0,,8.0,,3.0,2.0,,,,,,,,3.0,11.0,4.0,,3.0,32.0,,,,,,1.0,16.0,88.0,3.0,14.0,130.0,167.0,,4.0,3.0,3.0,22.0,36.0,43.0,38.0,29.0,8.0,47.0,179.0,,1.0,3.0,1.0,18.0,87.0,2619.0,2801.0,259.0,,,,571.0,523.0,225.0,,,,,150.0,64.0,22.0,,,5.0,23.0,14.0,26.0,1.0,5.0,,9.0,263.0,233.0,51.0,3.0,,23.0,52.0,67.0,32.0,16.0,6.0,13.0
_500_m_16_days_VI_Quality_2013033_aid0001,aid0001,2013-02-02,14798.0,3552.0,282.0,514379.0,61762.0,11670.0,212821.0,13363.0,684.0,25801.0,29517.0,3693.0,5.0,24.0,,10.0,11.0,,118.0,7.0,,16.0,125.0,2.0,,,,,,,,,,7.0,,,,,,,,,3.0,2.0,1.0,78.0,121.0,,,,,,,,,4.0,,7.0,25.0,4.0,,,,,,,,,,,6.0,,,,,285.0,283.0,8.0,11323.0,2546.0,282.0,357.0,32.0,2.0,87.0,364.0,31.0,2.0,23.0,,43.0,60.0,2.0,4.0,5.0,,5.0,24.0,1.0,,,,,,,,8.0,,,3.0,,,,71274.0,7643.0,929.0,462.0,26.0,,4.0,32.0,7.0,,,,,,,,,,548.0,49.0,10.0,44.0,41.0,,2.0,8.0,,18.0,1.0,,3204.0,341.0,20.0,371.0,82.0,,,3.0,,8.0,3.0,,,,64.0,64.0,19.0,421.0,115.0,13.0,1023.0,42.0,,850.0,907.0,24.0,51.0,72.0,,4.0,16.0,,115.0,,,221.0,311.0,2.0,,1.0,,5.0,8.0,,,,,,,,18.0,20.0,,1.0,29.0,,,,,,2.0,1.0,38.0,15.0,2.0,146.0,104.0,6.0,25.0,2.0,,29.0,5.0,2.0,56.0,37.0,8.0,41.0,85.0,,8.0,4.0,,19.0,51.0,3.0,3173.0,119.0,11.0,1.0,5.0,,80.0,11.0,7.0,,,,,119.0,23.0,,,5.0,,46.0,2.0,,,,,10.0,420.0,48.0,6.0,,7.0,,41.0,37.0,8.0,13.0,3.0,
_500_m_16_days_VI_Quality_2013041_aid0001,aid0001,2013-02-10,25025.0,2413.0,,534983.0,43967.0,3161.0,239050.0,6490.0,107.0,38859.0,13138.0,1341.0,,29.0,,3.0,,,13.0,,,11.0,12.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,,168.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.0,157.0,,12975.0,1569.0,44.0,482.0,11.0,,212.0,158.0,2.0,2.0,2.0,,9.0,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,64982.0,5384.0,,400.0,9.0,,1.0,1.0,,,,,,,,,,,950.0,13.0,,53.0,37.0,,,,,,,,4177.0,361.0,,314.0,78.0,,,,,,,,,,64.0,1.0,,398.0,5.0,,31.0,,,25.0,29.0,,2.0,1.0,,8.0,2.0,,3.0,,,13.0,41.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,27.0,11.0,,110.0,3.0,,5.0,,,6.0,2.0,,7.0,5.0,,4.0,9.0,,,,,6.0,14.0,,345.0,59.0,,,,,8.0,4.0,,,,,,9.0,,,,,,,,,,,,5.0,129.0,4.0,,4.0,,,,,,,,
_500_m_16_days_VI_Quality_2013049_aid0001,aid0001,2013-02-18,45270.0,,,148993.0,3891.0,,391502.0,267.0,,139396.0,10.0,,63.0,,,79.0,,,100.0,,,49.0,,,,,,1.0,,,4.0,,,5.0,,,,,,,,,37.0,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.0,,,6195.0,,,964.0,,,479.0,,,31.0,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,242066.0,110.0,,12.0,,,122.0,9.0,,,,,,,,,,,1060.0,,,5.0,,,,,,,,,11526.0,12.0,,104.0,,,26.0,,,,,,,,30.0,,,7437.0,,,156.0,,,29.0,,,32.0,,,14.0,,,48.0,,,42.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,21.0,,,361.0,,,4.0,,,,,,24.0,,,17.0,,,3.0,,,5.0,,,543.0,151.0,,7.0,,,116.0,33.0,,,,,,6.0,,,,,,,,,,,,3.0,151.0,2.0,,17.0,,,16.0,4.0,,,,
