Value,MODLAND,VI usefulness,Aerosol quantity,Adjacent cloud detected,Atmosphere BRDF correction,Mixed clouds,Land/Water flag,Possible snow/ice,Possible shadow
2061,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,land no desert,No,No
2065,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,land no desert,No,No
2069,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,land no desert,No,No
2116,"VI produced, good quality",Lower quality,Low,No,No,No,land no desert,No,No
2120,"VI produced, good quality",Decreasing quality,Low,No,No,No,land no desert,No,No
2124,"VI produced, good quality",Decreasing quality,Low,No,No,No,land no desert,No,No
2185,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,land no desert,No,No
2189,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,land no desert,No,No
2193,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,land no desert,No,No
2257,"VI produced, but check other QA",Decreasing quality,High,No,No,No,land no desert,No,No
2261,"VI produced, but check other QA",Decreasing quality,High,No,No,No,land no desert,No,No
2265,"VI produced, but check other QA",Decreasing quality,High,No,No,No,land no desert,No,No
2321,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,land no desert,No,No
2325,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,land no desert,No,No
2329,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,land no desert,No,No
2377,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,land no desert,No,No
2381,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,land no desert,No,No
2385,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,land no desert,No,No
2445,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,land no desert,No,No
2449,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,land no desert,No,No
2453,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,land no desert,No,No
2517,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,land no desert,No,No
2521,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,land no desert,No,No
2525,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,land no desert,No,No
3098,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,land no desert,No,No
3102,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,land no desert,No,No
3106,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,land no desert,No,No
3154,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,land no desert,No,No
3158,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,land no desert,No,No
3162,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,land no desert,No,No
3358,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,land no desert,No,No
3362,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,land no desert,No,No
3366,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,land no desert,No,No
3414,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,land no desert,No,No
3418,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,land no desert,No,No
3422,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,land no desert,No,No
3482,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,land no desert,No,No
3486,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,land no desert,No,No
3490,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,land no desert,No,No
3554,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,land no desert,No,No
3558,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,land no desert,No,No
3562,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,land no desert,No,No
4109,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,inland water,No,No
4113,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,inland water,No,No
4117,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,inland water,No,No
4164,"VI produced, good quality",Lower quality,Low,No,No,No,inland water,No,No
4168,"VI produced, good quality",Decreasing quality,Low,No,No,No,inland water,No,No
4172,"VI produced, good quality",Decreasing quality,Low,No,No,No,inland water,No,No
4233,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,inland water,No,No
4237,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,inland water,No,No
4241,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,inland water,No,No
4305,"VI produced, but check other QA",Decreasing quality,High,No,No,No,inland water,No,No
4309,"VI produced, but check other QA",Decreasing quality,High,No,No,No,inland water,No,No
4313,"VI produced, but check other QA",Decreasing quality,High,No,No,No,inland water,No,No
4369,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,inland water,No,No
4373,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,inland water,No,No
4377,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,inland water,No,No
4425,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,inland water,No,No
4429,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,inland water,No,No
4433,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,inland water,No,No
4493,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,inland water,No,No
4497,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,inland water,No,No
4501,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,inland water,No,No
4565,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,inland water,No,No
4569,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,inland water,No,No
4573,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,inland water,No,No
5202,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,inland water,No,No
5206,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,inland water,No,No
5210,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,inland water,No,No
5406,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,inland water,No,No
5410,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,inland water,No,No
5414,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,inland water,No,No
5462,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,inland water,No,No
5466,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,inland water,No,No
5470,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,inland water,No,No
10253,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,coastal,No,No
10257,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,coastal,No,No
10261,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,coastal,No,No
10308,"VI produced, good quality",Lower quality,Low,No,No,No,coastal,No,No
10312,"VI produced, good quality",Decreasing quality,Low,No,No,No,coastal,No,No
10316,"VI produced, good quality",Decreasing quality,Low,No,No,No,coastal,No,No
10377,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,coastal,No,No
10381,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,coastal,No,No
10385,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,coastal,No,No
10449,"VI produced, but check other QA",Decreasing quality,High,No,No,No,coastal,No,No
10453,"VI produced, but check other QA",Decreasing quality,High,No,No,No,coastal,No,No
10457,"VI produced, but check other QA",Decreasing quality,High,No,No,No,coastal,No,No
10513,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,coastal,No,No
10517,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,coastal,No,No
10521,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,coastal,No,No
10569,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,coastal,No,No
10573,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,coastal,No,No
10577,"VI produced, but check other QA",Decreasing quality,Low,Yes,No,No,coastal,No,No
10637,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,coastal,No,No
10641,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,coastal,No,No
10645,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,coastal,No,No
10709,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,coastal,No,No
10713,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,coastal,No,No
10717,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,coastal,No,No
11290,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,coastal,No,No
11294,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,coastal,No,No
11298,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,coastal,No,No
11346,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,coastal,No,No
