File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
VNP13A1_001__500_m_16_days_NDVI_doy2012353_aid0001,_500_m_16_days_NDVI,aid0001,2012-12-18,1003103.0,-0.7205,0.9893,"(-0.7205,0.9893)",0.0736807,0.1401659,0.0196465,0.0442,0.1096,0.0171,-0.0646,0.0006
VNP13A1_001__500_m_16_days_NDVI_doy2012361_aid0001,_500_m_16_days_NDVI,aid0001,2012-12-26,1003095.0,-0.628,0.9664,"(-0.628,0.9664)",0.0560188,0.105837,0.0112015,0.0417,0.1063,0.0128,-0.066,-0.0014
VNP13A1_001__500_m_16_days_NDVI_doy2013001_aid0001,_500_m_16_days_NDVI,aid0001,2013-01-01,1003103.0,-0.6,0.9983,"(-0.6,0.9983)",0.196871,0.1228881,0.0151015,0.2772,0.5238,0.2201,-0.1338,0.1128
VNP13A1_001__500_m_16_days_NDVI_doy2013009_aid0001,_500_m_16_days_NDVI,aid0001,2013-01-09,1003099.0,-0.6444,0.8411,"(-0.6444,0.8411)",0.2565179,0.0927932,0.0086106,0.3096,0.456,0.2571,0.0656,0.212
VNP13A1_001__500_m_16_days_NDVI_doy2013017_aid0001,_500_m_16_days_NDVI,aid0001,2013-01-17,1003105.0,-0.6444,0.9273,"(-0.6444,0.9273)",0.2677519,0.0826772,0.0068355,0.3129,0.4419,0.2612,0.0979,0.2269
VNP13A1_001__500_m_16_days_NDVI_doy2013025_aid0001,_500_m_16_days_NDVI,aid0001,2013-01-25,1003099.0,-0.6239,0.9909,"(-0.6239,0.9909)",0.2500769,0.0899494,0.0080909,0.2995,0.4186,0.2551,0.101,0.2201
VNP13A1_001__500_m_16_days_NDVI_doy2013033_aid0001,_500_m_16_days_NDVI,aid0001,2013-02-02,1003098.0,-0.5951,0.9959,"(-0.5951,0.9959)",0.2459757,0.0982265,0.0096484,0.2996,0.4068,0.2643,0.1209,0.2281
VNP13A1_001__500_m_16_days_NDVI_doy2013041_aid0001,_500_m_16_days_NDVI,aid0001,2013-02-10,1003103.0,-0.5846,0.9295,"(-0.5846,0.9295)",0.2492384,0.0957155,0.0091614,0.3006,0.4018,0.2657,0.1319,0.2331
VNP13A1_001__500_m_16_days_NDVI_doy2013049_aid0001,_500_m_16_days_NDVI,aid0001,2013-02-18,1003105.0,-0.5365,0.8008,"(-0.5365,0.8008)",0.1883994,0.1221957,0.0149318,0.2708,0.5914,0.2382,-0.2639,0.0569
VNP13A1_001__500_m_16_days_NDVI_doy2013057_aid0001,_500_m_16_days_NDVI,aid0001,2013-02-26,1003102.0,-0.4857,0.9804,"(-0.4857,0.9804)",0.1179697,0.1279804,0.016379,0.2468,0.6156,0.0693,-0.37,-0.0022
VNP13A1_001__500_m_16_days_NDVI_doy2013065_aid0001,_500_m_16_days_NDVI,aid0001,2013-03-06,1003102.0,-0.4536,0.9804,"(-0.4536,0.9804)",0.1702257,0.1277061,0.0163089,0.2728,0.627,0.2087,-0.3166,0.0349
VNP13A1_001__500_m_16_days_NDVI_doy2013073_aid0001,_500_m_16_days_NDVI,aid0001,2013-03-14,1003104.0,-0.4772,0.8276,"(-0.4772,0.8276)",0.227222,0.1007891,0.0101584,0.2918,0.4937,0.2541,-0.0447,0.1572
VNP13A1_001__500_m_16_days_NDVI_doy2013081_aid0001,_500_m_16_days_NDVI,aid0001,2013-03-22,1003102.0,-0.5897,0.7682,"(-0.5897,0.7682)",0.2644058,0.0832861,0.0069366,0.3078,0.4023,0.2742,0.1503,0.2448
VNP13A1_001__500_m_16_days_NDVI_doy2013089_aid0001,_500_m_16_days_NDVI,aid0001,2013-03-30,1003108.0,-0.585,0.9887,"(-0.585,0.9887)",0.2967861,0.0713375,0.005089,0.3245,0.4209,0.2857,0.1638,0.2602
VNP13A1_001__500_m_16_days_NDVI_doy2013097_aid0001,_500_m_16_days_NDVI,aid0001,2013-04-07,1003098.0,-0.5875,0.9991,"(-0.5875,0.9991)",0.3148446,0.1021284,0.0104302,0.3577,0.4987,0.2937,0.1227,0.2637
VNP13A1_001__500_m_16_days_NDVI_doy2013105_aid0001,_500_m_16_days_NDVI,aid0001,2013-04-15,1003100.0,-0.5945,0.8897,"(-0.5945,0.8897)",0.3363266,0.113661,0.0129188,0.4032,0.6132,0.3059,0.0532,0.2632
VNP13A1_001__500_m_16_days_NDVI_doy2013113_aid0001,_500_m_16_days_NDVI,aid0001,2013-04-23,1003103.0,-0.4606,0.9185,"(-0.4606,0.9185)",0.3428202,0.1178691,0.0138931,0.415,0.6419,0.3098,0.0368,0.2637
VNP13A1_001__500_m_16_days_NDVI_doy2013121_aid0001,_500_m_16_days_NDVI,aid0001,2013-05-01,1003102.0,-0.4571,0.9303,"(-0.4571,0.9303)",0.4242774,0.1604026,0.025729,0.5482,0.9289,0.3798,-0.0879,0.2937
VNP13A1_001__500_m_16_days_NDVI_doy2013129_aid0001,_500_m_16_days_NDVI,aid0001,2013-05-09,1003102.0,-0.471,0.9881,"(-0.471,0.9881)",0.4531015,0.1797982,0.0323274,0.5906,0.9881,0.40605,-0.1269,0.3036
VNP13A1_001__500_m_16_days_NDVI_doy2013137_aid0001,_500_m_16_days_NDVI,aid0001,2013-05-17,1003101.0,-0.4938,0.996,"(-0.4938,0.996)",0.4955161,0.1794638,0.0322072,0.6397,0.996,0.4478,-0.0923,0.3469
VNP13A1_001__500_m_16_days_NDVI_doy2013145_aid0001,_500_m_16_days_NDVI,aid0001,2013-05-25,1003104.0,-0.4977,0.9994,"(-0.4977,0.9994)",0.5125995,0.1899022,0.0360629,0.6657,0.9994,0.459,-0.108,0.3562
VNP13A1_001__500_m_16_days_NDVI_doy2013153_aid0001,_500_m_16_days_NDVI,aid0001,2013-06-02,1003095.0,-0.6915,0.9969,"(-0.6915,0.9969)",0.5445784,0.1770297,0.0313395,0.6812,0.9969,0.5072,-0.0048,0.4067
VNP13A1_001__500_m_16_days_NDVI_doy2013161_aid0001,_500_m_16_days_NDVI,aid0001,2013-06-10,1003104.0,-0.6915,0.9921,"(-0.6915,0.9921)",0.5639106,0.1638434,0.0268447,0.6879,0.9921,0.5411,0.0547,0.4344
VNP13A1_001__500_m_16_days_NDVI_doy2013169_aid0001,_500_m_16_days_NDVI,aid0001,2013-06-18,1003101.0,-0.3965,0.9968,"(-0.3965,0.9968)",0.6510004,0.1421435,0.0202048,0.7609,0.9968,0.6621,0.2469,0.5553
VNP13A1_001__500_m_16_days_NDVI_doy2013177_aid0001,_500_m_16_days_NDVI,aid0001,2013-06-26,1003103.0,-0.4408,0.9971,"(-0.4408,0.9971)",0.6994615,0.1367997,0.0187142,0.8019,0.9971,0.7242,0.3457,0.6194
VNP13A1_001__500_m_16_days_NDVI_doy2013185_aid0001,_500_m_16_days_NDVI,aid0001,2013-07-04,1003102.0,-0.4577,0.9976,"(-0.4577,0.9976)",0.7798751,0.1103885,0.0121856,0.8562,0.9976,0.8022,0.5415,0.7303
